dateRep,countriesAndTerritories,cases,deaths,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
2019-12-31,Afghanistan,0,0,
2020-01-01,Afghanistan,0,0,
2020-01-02,Afghanistan,0,0,
2020-01-03,Afghanistan,0,0,
2020-01-04,Afghanistan,0,0,
2020-01-05,Afghanistan,0,0,
2020-01-06,Afghanistan,0,0,
2020-01-07,Afghanistan,0,0,
2020-01-08,Afghanistan,0,0,
2020-01-09,Afghanistan,0,0,
2020-01-10,Afghanistan,0,0,
2020-01-11,Afghanistan,0,0,
2020-01-12,Afghanistan,0,0,
2020-01-13,Afghanistan,0,0,0.0
2020-01-14,Afghanistan,0,0,0.0
2020-01-15,Afghanistan,0,0,0.0
2020-01-16,Afghanistan,0,0,0.0
2020-01-17,Afghanistan,0,0,0.0
2020-01-18,Afghanistan,0,0,0.0
2020-01-19,Afghanistan,0,0,0.0
2020-01-20,Afghanistan,0,0,0.0
2020-01-21,Afghanistan,0,0,0.0
2020-01-22,Afghanistan,0,0,0.0
2020-01-23,Afghanistan,0,0,0.0
2020-01-24,Afghanistan,0,0,0.0
2020-01-25,Afghanistan,0,0,0.0
2020-01-26,Afghanistan,0,0,0.0
2020-01-27,Afghanistan,0,0,0.0
2020-01-28,Afghanistan,0,0,0.0
2020-01-29,Afghanistan,0,0,0.0
2020-01-30,Afghanistan,0,0,0.0
2020-01-31,Afghanistan,0,0,0.0
2020-02-01,Afghanistan,0,0,0.0
2020-02-02,Afghanistan,0,0,0.0
2020-02-03,Afghanistan,0,0,0.0
2020-02-04,Afghanistan,0,0,0.0
2020-02-05,Afghanistan,0,0,0.0
2020-02-06,Afghanistan,0,0,0.0
2020-02-07,Afghanistan,0,0,0.0
2020-02-08,Afghanistan,0,0,0.0
2020-02-09,Afghanistan,0,0,0.0
2020-02-10,Afghanistan,0,0,0.0
2020-02-11,Afghanistan,0,0,0.0
2020-02-12,Afghanistan,0,0,0.0
2020-02-13,Afghanistan,0,0,0.0
2020-02-14,Afghanistan,0,0,0.0
2020-02-15,Afghanistan,0,0,0.0
2020-02-16,Afghanistan,0,0,0.0
2020-02-17,Afghanistan,0,0,0.0
2020-02-18,Afghanistan,0,0,0.0
2020-02-19,Afghanistan,0,0,0.0
2020-02-20,Afghanistan,0,0,0.0
2020-02-21,Afghanistan,0,0,0.0
2020-02-22,Afghanistan,0,0,0.0
2020-02-23,Afghanistan,0,0,0.0
2020-02-24,Afghanistan,0,0,0.0
2020-02-25,Afghanistan,1,0,0.00262869
2020-02-26,Afghanistan,0,0,0.00262869
